YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2021,3,49655,17888,carguru
2020,4,37644,11995,carguru
2023,1,13809,24995,carguru
2020,4,128000,13999,carguru
2022,2,25128,23321,carguru
2017 ,7,128000,18800,craigslist 
2023,1,12000,38881,craigslist 
2016,8,104000,22998,craigslist 
2010,14,96000,7999,craigslist 
2014,10,129000,11500,craigslist 
2017,7,107663,20575,autotrader 
2023,1,15715,27981,autotrader 
2022,2,37708,21945,autotrader 
2018,6,70663,22495,autotrader 
2021,3,19039,25558,autotrader 
