Date,Open,High,Low,Close,Adj Close,Volume,Days
2014-02-28,27.129999,27.41,27.129999,27.370001,25.372055,1193200,0
2014-03-03,27.48,28.08,27.440001,28.059999,26.011688,3762300,1
2014-03-04,27.84,28.09,27.719999,27.959999,25.918987,1283100,2
2014-03-05,28.01,28.440001,27.950001,28.360001,26.289789,3269600,3
2014-03-06,28.32,28.379999,28.209999,28.32,26.252708,975200,4
2014-03-07,28.51,28.52,28.32,28.379999,26.308329,2186700,5
2014-03-10,28.5,28.700001,28.450001,28.51,26.428839,1352500,6
2014-03-11,28.719999,28.83,28.690001,28.76,26.660589,1357100,7
2014-03-12,28.549999,28.85,28.5,28.74,26.64205,1415800,8
2014-03-13,28.9,28.950001,28.75,28.780001,26.679129,886000,9
2014-03-14,28.6,28.709999,28.559999,28.6,26.512268,938900,10
2014-03-17,28.620001,28.73,28.41,28.440001,26.363951,1484400,11
2014-03-18,28.6,28.74,28.540001,28.719999,26.623507,763200,12
2014-03-19,28.67,28.74,28.57,28.66,26.567888,674600,13
2014-03-20,28.48,28.549999,28.049999,28.110001,26.058039,1344600,14
2014-03-21,28.040001,28.09,27.82,27.85,25.817019,821800,15
2014-03-24,27.959999,28.17,27.950001,28.040001,25.993149,1860800,16
2014-03-25,27.959999,28.07,27.959999,28.059999,26.011688,667800,17
2014-03-26,28.129999,28.25,28.07,28.129999,26.076576,397400,18
2014-03-27,28.18,28.469999,28.18,28.450001,26.373219,872200,19
2014-03-28,28.440001,28.58,28.35,28.43,26.354679,477300,20
2014-03-31,28.389999,28.4,28.02,28.33,26.261978,1399500,21
2014-04-01,28.309999,28.360001,28.139999,28.190001,26.132198,1882900,22
2014-04-02,28.17,28.24,27.799999,27.83,25.798477,1534100,23
2014-04-03,27.84,28.01,27.799999,28,25.956068,574700,24
2014-04-04,28.059999,28.290001,27.959999,28.27,26.206358,693400,25
2014-04-07,28.41,28.49,28.27,28.48,26.401028,995900,26
2014-04-08,28.51,28.780001,28.51,28.620001,26.530809,681000,27
2014-04-09,28.540001,28.85,28.48,28.74,26.64205,1328600,28
2014-04-10,28.809999,28.879999,28.700001,28.780001,26.679129,804600,29
2014-04-11,28.66,28.790001,28.51,28.559999,26.475187,996800,30
2014-04-14,28.620001,28.889999,28.58,28.870001,26.76256,563500,31
2014-04-15,28.76,28.870001,28.6,28.65,26.55862,802200,32
2014-04-16,28.709999,28.799999,28.48,28.52,26.438108,1127800,33
2014-04-17,28.57,28.889999,28.51,28.879999,26.77183,544700,34
2014-04-21,28.719999,28.780001,28.450001,28.49,26.410299,1015500,35
2014-04-22,28.9,29.040001,28.790001,29,26.883072,715600,36
2014-04-23,29,29.219999,28.99,29.209999,27.07774,750700,37
2014-04-24,29.290001,29.32,29.15,29.209999,27.07774,581400,38
2014-04-25,29.23,29.280001,29.059999,29.110001,26.985039,579700,39
2014-04-28,29.290001,29.290001,28.950001,29,26.883072,1392600,40
2014-04-29,28.9,29.41,28.809999,29.379999,27.235329,1139200,41
2014-04-30,29.35,29.35,29.110001,29.27,27.133362,1210500,42
2014-05-01,29.190001,29.280001,29.059999,29.129999,27.00358,1262900,43
2014-05-02,29.15,29.15,28.92,28.940001,26.827452,829800,44
2014-05-05,29.18,29.24,28.969999,29.120001,26.994312,889400,45
2014-05-06,29.040001,29.24,29.02,29.129999,27.00358,1463600,46
2014-05-07,29.1,29.190001,28.950001,29.030001,26.910881,644400,47
2014-05-08,28.860001,28.959999,28.790001,28.879999,26.77183,1361100,48
2014-05-09,28.639999,28.690001,28.440001,28.48,26.401028,1065700,49
2014-05-12,28.4,28.530001,28.299999,28.51,26.428839,1004400,50
2014-05-13,28.559999,28.780001,28.469999,28.59,26.503,579700,51
2014-05-14,28.58,28.6,28.5,28.58,26.493729,906700,52
2014-05-15,28.700001,28.719999,28.549999,28.610001,26.52154,555700,53
2014-05-16,28.48,28.51,28.23,28.35,26.280519,1413100,54
2014-05-19,28.27,28.379999,28.209999,28.34,26.27125,525900,55
2014-05-20,28.309999,28.42,28.27,28.280001,26.21563,546600,56
2014-05-21,28.27,28.32,28.209999,28.280001,26.21563,1507400,57
2014-05-22,28.280001,28.34,28.120001,28.209999,26.150738,477300,58
